Numero
1 - 8 - 10 - 19 - 37 - 40
8 - 12 - 14 - 16 - 22 - 26
6 - 23 - 25 - 34 - 38 - 39
1 - 13 - 14 - 19 - 26 - 33
11 - 19 - 21 - 24 - 28 - 30
4 - 10 - 22 - 29 - 31 - 39
1 - 5 - 9 - 17 - 21 - 39
10 - 20 - 26 - 27 - 29 - 39
6 - 20 - 28 - 31 - 34 - 41
6 - 7 - 14 - 15 - 18 - 39
7 - 10 - 15 - 23 - 29 - 35
1 - 16 - 18 - 23 - 34 - 41
11 - 19 - 25 - 32 - 33 - 40
11 - 19 - 22 - 23 - 28 - 32
5 - 6 - 30 - 34 - 36 - 37
4 - 24 - 27 - 28 - 33 - 38
2 - 13 - 22 - 29 - 34 - 35
9 - 19 - 25 - 35 - 36 - 37
4 - 9 - 28 - 31 - 37 - 40
3 - 5 - 10 - 11 - 15 - 32
4 - 6 - 21 - 22 - 27 - 39
10 - 15 - 25 - 32 - 37 - 40
6 - 10 - 17 - 27 - 28 - 32
9 - 10 - 12 - 21 - 35 - 39
1 - 12 - 17 - 27 - 29 - 31
10 - 11 - 24 - 25 - 27 - 39
8 - 10 - 15 - 22 - 27 - 40
6 - 24 - 27 - 35 - 36 - 40
12 - 14 - 24 - 25 - 33 - 38
18 - 20 - 27 - 31 - 35 - 38
7 - 16 - 21 - 22 - 37 - 41
7 - 11 - 16 - 25 - 26 - 28
10 - 19 - 27 - 30 - 37 - 41
7 - 12 - 34 - 36 - 39 - 41
11 - 17 - 19 - 26 - 28 - 34
4 - 7 - 12 - 21 - 23 - 33
4 - 17 - 18 - 21 - 28 - 30
4 - 5 - 21 - 24 - 27 - 30
9 - 23 - 25 - 26 - 28 - 34
5 - 13 - 14 - 33 - 34 - 40
4 - 7 - 17 - 32 - 38 - 40
5 - 6 - 8 - 10 - 11 - 36
6 - 8 - 13 - 19 - 20 - 26
6 - 7 - 10 - 17 - 38 - 40
8 - 9 - 24 - 27 - 36 - 41
1 - 3 - 12 - 25 - 30 - 36
2 - 4 - 24 - 27 - 31 - 37
1 - 24 - 26 - 29 - 35 - 36
7 - 18 - 21 - 30 - 32 - 34
4 - 6 - 11 - 12 - 13 - 39
6 - 8 - 12 - 17 - 27 - 35
5 - 15 - 21 - 23 - 26 - 28
5 - 8 - 11 - 20 - 29 - 35
8 - 9 - 12 - 28 - 34 - 38
6 - 7 - 23 - 25 - 35 - 38
6 - 7 - 8 - 16 - 27 - 28
2 - 10 - 19 - 35 - 37 - 40
4 - 5 - 12 - 14 - 30 - 35
10 - 20 - 23 - 29 - 34 - 36
2 - 13 - 14 - 17 - 29 - 41
6 - 8 - 11 - 14 - 19 - 31
2 - 6 - 7 - 30 - 31 - 33
2 - 12 - 15 - 24 - 32 - 35
1 - 5 - 8 - 16 - 25 - 37
5 - 13 - 23 - 28 - 31 - 41
3 - 10 - 12 - 14 - 22 - 40
6 - 8 - 9 - 16 - 26 - 34
14 - 19 - 25 - 34 - 37 - 39
8 - 13 - 16 - 18 - 22 - 26
1 - 3 - 5 - 18 - 30 - 35
2 - 4 - 10 - 15 - 31 - 38
7 - 11 - 22 - 27 - 38 - 41
9 - 10 - 23 - 26 - 31 - 34
2 - 4 - 18 - 25 - 27 - 40
3 - 7 - 13 - 16 - 23 - 41
2 - 7 - 15 - 16 - 27 - 39
2 - 4 - 7 - 19 - 38 - 41
2 - 9 - 12 - 15 - 17 - 18
3 - 11 - 17 - 22 - 33 - 35
9 - 23 - 30 - 32 - 35 - 39
1 - 10 - 15 - 20 - 24 - 36
4 - 7 - 9 - 20 - 23 - 32
5 - 6 - 12 - 13 - 26 - 32
5 - 12 - 19 - 24 - 26 - 40
12 - 16 - 19 - 21 - 26 - 29
6 - 19 - 22 - 23 - 27 - 37
3 - 4 - 13 - 16 - 35 - 36
2 - 8 - 11 - 14 - 17 - 38
5 - 9 - 26 - 27 - 29 - 32
7 - 9 - 10 - 14 - 21 - 38
6 - 9 - 13 - 15 - 16 - 22
12 - 21 - 23 - 26 - 27 - 33
1 - 9 - 10 - 12 - 17 - 29
21 - 24 - 25 - 34 - 35 - 36
7 - 10 - 21 - 35 - 38 - 39
7 - 18 - 24 - 26 - 27 - 31
6 - 19 - 24 - 27 - 36 - 37
6 - 10 - 12 - 16 - 30 - 40
5 - 8 - 18 - 19 - 25 - 32
2 - 7 - 12 - 34 - 35 - 41
10 - 25 - 30 - 31 - 32 - 33
9 - 14 - 15 - 21 - 32 - 41
11 - 23 - 32 - 33 - 34 - 41
4 - 6 - 14 - 19 - 25 - 31
8 - 11 - 12 - 14 - 34 - 37
4 - 6 - 8 - 26 - 31 - 40
9 - 18 - 24 - 26 - 31 - 39
13 - 21 - 28 - 33 - 36 - 38
5 - 9 - 10 - 17 - 26 - 38
2 - 11 - 18 - 26 - 34 - 40
8 - 10 - 17 - 25 - 27 - 37
13 - 14 - 19 - 25 - 26 - 28
17 - 24 - 31 - 32 - 34 - 40
